id,ticker,financialGroup,displayName,createdAt,updatedAt
338,KRDMB,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:51.227,2025-10-19 22:32:14.877
339,KRDMD,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:52.708,2025-10-19 22:32:16.043
340,KRGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:54.253,2025-10-19 22:32:17.401
341,KRONT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:55.852,2025-10-19 22:32:18.789
342,KRPLS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:57.444,2025-10-19 22:32:20.17
343,KRSTL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:59.127,2025-10-19 22:32:21.619
344,KRTEK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:00.868,2025-10-19 22:32:23.094
345,KRVGD,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:02.581,2025-10-19 22:32:24.512
346,KSTUR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:04.25,2025-10-19 22:32:25.912
347,KTLEV,XI_29K,Seri XI No:29 Konsolide,2025-10-19 20:10:05.781,2025-10-19 22:32:27.229
348,KTSKR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:07.473,2025-10-19 22:32:28.62
349,KUTPO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:09.12,2025-10-19 22:32:30.051
350,KUVVA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:10.695,2025-10-19 22:32:31.53
351,KUYAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:12.17,2025-10-19 22:32:32.942
352,KZBGY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:13.763,2025-10-19 22:32:34.348
353,KZGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:15.305,2025-10-19 22:32:35.773
354,LIDER,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:16.945,2025-10-19 22:32:37.403
355,LIDFA,XI_29K,Seri XI No:29 Konsolide,2025-10-19 20:10:18.71,2025-10-19 22:32:38.842
356,LILAK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:10:20.484,2025-10-19 22:32:40.285
